[ 00:54:45.713 -->  00:54:46.748] 3 SPEAKER_03
[ 00:54:47.156 -->  00:54:49.991] 3 SPEAKER_03
[ 00:54:49.991 -->  00:55:48.005] 1 SPEAKER_01
[ 00:55:48.005 -->  00:55:58.005] 3 SPEAKER_03
[ 00:55:58.005 -->  00:56:17.071] 2 SPEAKER_02
[ 00:56:17.173 -->  00:56:18.005] 2 SPEAKER_02
[ 00:56:21.349 -->  00:56:21.383] 3 SPEAKER_03
[ 00:56:21.723 -->  00:56:21.808] 3 SPEAKER_03
[ 00:56:22.860 -->  00:56:23.438] 0 SPEAKER_00
[ 00:56:23.522 -->  00:56:23.539] 0 SPEAKER_00
[ 00:56:26.001 -->  00:56:33.794] 0 SPEAKER_00
[ 00:56:34.456 -->  00:56:34.507] 0 SPEAKER_00
[ 00:56:34.507 -->  00:56:34.813] 3 SPEAKER_03
[ 00:56:34.813 -->  00:56:34.864] 0 SPEAKER_00
[ 00:56:34.864 -->  00:56:37.614] 3 SPEAKER_03
